"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,Casheri,project,2024-03-01,2024-07-26,0,0,0,,,,,
1.1,"Αρχικό Στάδιο",group,2024-03-01,2024-03-06,0,0,0,,,,,
1.1.1,"ΚαθορισμόςΠροδιαγραφών Έργου ",task,2024-03-01,2024-03-06,0,0,0,,,,,blue2
1.2,"Στάδιο Σχεδιασμού",group,2024-03-07,2024-03-22,0,0,0,,,,,
1.2.1,"ΣχεδιασμόςΠεριβάλλοντος Διεπαφής",task,2024-03-07,2024-03-11,0,0,0,,,,,green1
1.2.2,"Σχεδιασμός Λειτουργιών Οδηγού",task,2024-03-12,2024-03-17,0,0,0,,,,,green1
1.2.3,"Σχεδιασμός Λειτουργιών Επιβάτη",task,2024-03-12,2024-03-16,0,0,0,,,,,green1
1.2.4,"Σχεδιασμός Λειτουργιών Διαχειριστή",task,2024-03-12,2024-03-16,0,0,0,,,,,green1
1.2.5,"Σχεδιασμός Βάσης Δεδομένων",task,2024-03-18,2024-03-22,0,0,0,,,,,green1
1.3,"Στάδιο Ανάπτυξης",group,2024-03-23,2024-06-11,0,0,0,,,,,
1.3.1,"Ανάπτυξη Βάσης Δεδομένων",task,2024-03-23,2024-03-25,0,0,0,,,,,purple1
1.3.2,"Ανάπτυξη Dashboard Οδηγού  ",task,2024-03-26,2024-04-10,0,0,0,,,,,purple1
1.3.3,"Ανάπτυξη Λειτουργίας Δημιουργίας Προγράμματος με Διαδρομές  ",task,2024-04-11,2024-04-30,0,0,0,,,,,purple1
1.3.4,"Ανάπτυξη Ιστορικού Οδηγού  ",task,2024-04-11,2024-04-28,0,0,0,,,,,purple1
1.3.5,"Ανάπτυξη Συστήματος Αξιολόγησης Επιβατών",task,2024-04-11,2024-04-26,0,0,0,,,,,purple1
1.3.6,"Ανάπτυξη Λειτουργίας Έναρξης Διαδρομής",task,2024-05-01,2024-05-10,0,0,0,,,,,purple1
1.3.7,"Ανάπτυξη Χάρτη Επιβάτη για Επιλογή Οδηγού",task,2024-05-11,2024-05-28,0,0,0,,,,,purple1
1.3.8,"Ανάπτυξη Συστήματος Πληρωμής Οδηγού",task,2024-05-11,2024-05-20,0,0,0,,,,,purple1
1.3.9,"Ανάπτυξη Συστήματος Αξιολόγησης Οδηγών  ",task,2024-05-11,2024-05-20,0,0,0,,,,,purple1
1.3.10,"Ανάπτυξη Dashboard Διαχειριστή ",task,2024-05-21,2024-06-10,0,0,0,,,,,purple1
1.3.11,"Ανάπτυξη Λειτουργίας Άμεσων Μηνυμάτων Οδηγού-Επιβάτη ",task,2024-05-21,2024-06-08,0,0,0,,,,,purple1
1.3.12,"Ανάπτυξη Λειτουργίας Διαχειριστή για Έλεγχο Χρηστών",task,2024-05-29,2024-06-11,0,0,0,,,,,purple1
1.4,"Τελικό Στάδιο",group,2024-06-12,2024-07-26,0,0,0,,,,,
1.4.1,"Έλεγχος κώδικα ",task,2024-06-12,2024-07-07,0,0,0,,,,,red1
1.4.2,"Αξιολόγηση από πελάτη",task,2024-07-08,2024-07-13,0,0,0,,,,,red1
1.4.3,Τροποποιήσεις,task,2024-07-14,2024-07-25,0,0,0,,,,,red1
1.4.4,"Παράδοση Έργου",task,2024-07-26,2024-07-26,0,0,0,,,,,red1
